First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
texmf-dist|tex|generic/pgf/libraries|pgflibraryshapes.arrows.code.tex|0.306
texmf-dist|fonts|type1/public/cm-super|sfbx1440.pfb|0.304
texmf-dist|fonts|tfm/public/mathabx|mathb5.tfm|0.304
texmf-dist|fonts|tfm/public/mathabx|matha5.tfm|0.304
texmf-dist|fonts|tfm/public/txfonts|txbsya.tfm|0.304
texmf-dist|fonts|type1/public/xypic|xybtip10.pfb|0.303
texmf-dist|fonts|type1/public/xypic|xyatip10.pfb|0.303
texmf-dist|tex|generic/pgf/libraries|pgflibraryshapes.multipart.code.tex|0.303
texmf-dist|fonts|type1/public/txfonts|rtxbmi.pfb|0.303
texmf-dist|fonts|tfm/public/txfonts|txbsyb.tfm|0.303
texmf-dist|tex|latex/oberdiek|pdflscape.sty|0.302
texmf-dist|tex|generic/pgf/libraries|pgflibraryshapes.callouts.code.tex|0.299
texmf-dist|tex|generic/pgf/frontendlayer/tikz/libraries|tikzlibrarydecorations.shapes.code.tex|0.298
texmf-dist|fonts|type1/public/cm-super|sftt0800.pfb|0.298
texmf-dist|tex|generic/pst-tools|pst-tools.tex|0.296
texmf-dist|tex|latex/slashbox|slashbox.sty|0.296
texmf-dist|tex|latex/base|ts1enc.dfu|0.295
texmf-dist|fonts|tfm/public/cm|cmbxsl10.tfm|0.293
texmf-dist|fonts|tfm/jknappen/ec|eccc0900.tfm|0.292
texmf-dist|fonts|type1/public/amsfonts/cm|cmbx5.pfb|0.292
texmf-dist|fonts|tfm/jknappen/ec|ectt1095.tfm|0.292
texmf-dist|fonts|tfm/public/marvosym|umvs.tfm|0.291
texmf-dist|fonts|tfm/public/ae|aebx10.tfm|0.291
texmf-dist|fonts|tfm/public/amsfonts/euler|eurb10.tfm|0.291
texmf-dist|tex|latex/marvosym|umvs.fd|0.289
texmf-dist|fonts|tfm/public/txfonts|t1xr.tfm|0.289
texmf-dist|fonts|enc/dvips/cm-super|cm-super-ts1.enc|0.288
texmf-dist|fonts|tfm/public/txfonts|t1xb.tfm|0.287
texmf-dist|doc|context/manuals/reference/en|co-introduction.tex|0.283
texmf-dist|fonts|tfm/public/ae|aer12.tfm|0.281
texmf-dist|tex|latex/psnfss|omspzccm.fd|0.281
texmf-dist|tex|latex/arydshln|arydshln.sty|0.281
texmf-dist|fonts|tfm/public/txfonts|t1xi.tfm|0.281
texmf-dist|fonts|tfm/public/lm|rm-lmbx5.tfm|0.280
texmf-dist|tex|latex/txfonts|t1txr.fd|0.279
texmf-dist|fonts|tfm/adobe/times|zpzccmry.tfm|0.279
texmf-dist|fonts|tfm/public/lm|ec-lmri8.tfm|0.279
texmf-dist|fonts|tfm/adobe/times|zptmcmr.tfm|0.277
texmf-dist|fonts|tfm/adobe/times|zptmcmrm.tfm|0.277
texmf-dist|tex|latex/psnfss|omlptmcm.fd|0.277
texmf-dist|tex|latex/psnfss|ot1ptmcm.fd|0.277
texmf-dist|fonts|tfm/public/lm|rm-lmbx6.tfm|0.276
texmf-dist|fonts|tfm/public/lm|ec-lmbx12.tfm|0.276
texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolC10.tfm|0.273
texmf-dist|fonts|tfm/public/lm|rm-lmbx8.tfm|0.273
texmf-dist|fonts|tfm/adobe/times|zpsycmrv.tfm|0.273
texmf-dist|tex|latex/psnfss|omxpsycm.fd|0.273
texmf-dist|tex|latex/revtex4|11pt.rtx|0.273
texmf-dist|fonts|tfm/public/lm|rm-lmr9.tfm|0.272
texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolC6.tfm|0.272
texmf-dist|fonts|tfm/public/mathabx|matha7.tfm|0.270
texmf-dist|fonts|tfm/public/mathabx|mathb7.tfm|0.270
texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolE10.tfm|0.270
texmf-dist|tex|generic/pgf/frontendlayer/tikz/libraries|tikzlibrarysnakes.code.tex|0.269
texmf-dist|tex|generic/pgf/libraries/decorations|pgflibrarydecorations.markings.code.tex|0.269
texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolA10.tfm|0.269
texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolE6.tfm|0.269
texmf-dist|fonts|type1/public/cm-super|sfti1200.pfb|0.269
texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolF10.tfm|0.268
texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolA6.tfm|0.268
texmf-dist|tex|latex/koma-script|typearea.sty|0.266
texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolC8.tfm|0.266
texmf-dist|tex|latex/pb-diagram|pb-diagram.sty|0.266
texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolF6.tfm|0.266
texmf-dist|fonts|tfm/public/cm|cmb10.tfm|0.265
texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolB10.tfm|0.265
